Languages,glottocode,r_l_distinction,trill_real,trill_occ
NGT,dutc1253,NA,NA,NA
afrikaans,afri1274,1,1,1
albanian,tosk1239,1,1,1
ancient greek,anci1242,1,1,1
arabic,stan1318,1,1,1
armenian,nucl1235,1,1,1
asl,amer1248,NA,NA,NA
austriangerman,uppe1398,1,0,1
basque,basq1248,1,1,1
belarusian,bela1254,1,1,1
breton,bret1244,1,0,1
bulgarian,bulg1262,1,1,1
calabrese,sout2616,1,0,1
catalan,stan1289,1,1,1
chinese,mand1415,0,0,1
creole,NA,NA,NA,NA
croatian,croa1245,1,1,1
czech,czec1258,1,1,1
danish,dani1285,1,0,1
dutch,dutc1256,1,1,1
english,stan1293,1,0,1
esperanto,espe1235,1,1,1
estonian,esto1258,1,1,1
farsi,west2369,1,1,1
finnish,finn1318,1,1,1
french,stan1290,1,0,1
georgian,nucl1302,1,0,1
german,stan1295,1,0,1
greek,mode1248,1,0,1
hebrew,hebr1245,1,0,1
hindi,hind1269,1,0,1
hungarian,hung1274,1,1,1
icelandic,icel1247,1,1,1
inari,inar1241,1,1,1
indonesian,indo1316,1,1,1
irish,iris1253,1,0,1
italian,ital1282,1,1,1
japanese,nucl1643,0,0,1
konkani,konk1267,1,0,1
korean,kore1280,0,0,1
kurdish,nort2641,1,1,1
latin,lati1261,1,1,1
latvian,latv1249,1,1,1
limburgish,limb1263,1,0,1
macedonian,mace1250,1,1,1
malay,mala1479,1,1,1
mingrelian,ming1252,1,1,1
nepali,nepa1254,1,1,1
norwegian,norw1259,1,0,1
pashto,pash1269,1,1,1
polish,poli1260,1,1,1
portuguese,port1283,1,0,1
romanian,roma1327,1,1,1
russian,russ1263,1,1,1
saami,nort2671,1,1,1
sanskrit,sans1269,1,1,1
serbian,sout1528,1,0,1
silesian,sile1253,1,1,1
slovak,slov1269,1,1,1
sotho,sout2807,1,0,1
spanish,stan1288,1,1,1
swahili,swah1253,1,0,1
swazi,swat1243,0,0,0
swedish,swed1254,1,0,1
swissgerman,swis1247,1,1,1
tamil,tami1289,1,0,1
thai,thai1261,1,0,1
turkish,nucl1301,1,0,1
ukrainian,ukra1253,1,0,1
vietnamese,viet1252,0,0,1
wolof,nucl1347,1,0,1
xhosa,xhos1239,0,0,1
zhuang,daic1237,0,0,1
zulu,zulu1248,0,0,1
daakie,	port1286,1,1,1
palikur,pali1279,0,0,0
berber,tach1250,1,1,1
bislama,bisl1239,1,1,1
BSL,brit1235,NA,NA,NA
cantonese,cant1236,0,0,0
punjabi,panj1256,1,1,1
urdu,urdu1245,1,1,1
welsh,wels1247,1,1,1
yoruba,yoru1245,1,0,1
